team_full_name,team_abbrev,season_id,points_def,points_fwd,goals_def,goals_fwd,primary_def,primary_fwd,secondary_def,secondary_fwd,assists_def,assists_fwd,team_points,pct_points_def,ff,fa,ff_percent,save_pct,saves,shots_against,points,wins,losses,ot_losses,games_played,goals_for,goals_against,power_play_pct,pp_opportunities_per_game,sh_goals_against_per_game,pp_net_goals_per_game,penalty_kill_pct,times_shorthanded_per_game,usat_against,usat_for,usat_total,usat_pct,overall_pct_def
Anaheim Ducks,ANA,20182019,125,397,23,173,48,136,54,88,102,224,522,0.23946360153256704,209680,243699,0.4624828234214642,0.90899,2477,2725,80,35,37,10,82,196,248,0.16981,2.58536,0.121951,0.31707,0.79704,3.30487,2985,2673,-312,0.47241,0.2515218594355285
Anaheim Ducks,ANA,20192020,117,352,28,154,33,130,56,68,89,198,469,0.24946695095948823,189874,202067,0.4844453629500359,0.90184,2058,2282,67,29,33,9,71,182,225,0.14673,2.59154,0.070422,0.30985,0.76995,3,2526,2380,-146,0.48523,0.2515218594355285
Anaheim Ducks,ANA,20202021,79,244,18,106,23,88,38,50,61,138,323,0.24458204334365324,127724,142161,0.473253422754136,0.89661,1535,1712,43,17,30,9,56,124,177,0.08943,2.19642,0.089285,0.10714,0.79878,2.92857,1889,1742,-147,0.47975,0.2515218594355285
Anaheim Ducks,ANA,20212022,162,450,35,193,65,145,62,112,127,257,612,0.2647058823529412,196452,224099,0.46713002703596,0.90238,2459,2725,76,31,37,14,82,228,266,0.21917,2.67073,0.04878,0.53658,0.80803,2.7317,2941,2699,-242,0.47844,0.2515218594355285
Anaheim Ducks,ANA,20222023,141,416,32,174,59,136,50,106,109,242,557,0.25314183123877915,179504,243740,0.4241146950695107,0.89585,2873,3207,58,23,47,12,82,206,335,0.1572,2.79268,0.085365,0.35365,0.72142,3.41463,3444,2464,-980,0.41706,0.2515218594355285
Anaheim Ducks,ANA,20232024,143,411,22,181,58,135,63,95,121,230,554,0.2581227436823105,190435,233223,0.449501720727568,0.89009,2373,2666,59,27,50,5,82,203,293,0.17872,2.86585,0.060975,0.45121,0.72424,4.02439,2790,2423,-367,0.46479,0.2515218594355285
Anaheim Ducks,ANA,20242025,142,435,34,183,69,134,39,118,108,252,577,0.24610051993067592,225244,259768,0.46440912802157475,0.90181,2388,2648,80,35,37,10,82,217,261,0.11764,2.69512,0.07317,0.2439,0.74193,3.02439,3194,2709,-485,0.45891,0.2515218594355285
Arizona Coyotes,ARI,20182019,141,393,31,178,54,133,56,82,110,215,534,0.2640449438202247,226831,225042,0.501979538498649,0.91294,2307,2527,86,39,35,8,82,209,220,0.16279,3.14634,0.109756,0.40243,0.84955,2.75609,2836,2766,-70,0.49375,0.25305250305250304
Arizona Coyotes,ARI,20192020,124,376,30,160,38,135,56,81,94,216,500,0.248,187446,192506,0.4933412641596833,0.91938,2087,2270,74,33,29,8,70,190,183,0.19158,3.05714,0.071428,0.51428,0.82741,2.81428,2513,2362,-151,0.48463,0.25305250305250304
Arizona Coyotes,ARI,20202021,114,290,27,123,44,94,43,73,87,167,404,0.28217821782178215,131883,140515,0.484155537118481,0.89859,1533,1706,54,24,26,6,56,150,174,0.20786,3.17857,0.071428,0.58928,0.80838,2.98214,1832,1736,-96,0.48622,0.25305250305250304
Arizona Coyotes,ARI,20212022,150,406,40,166,51,141,59,99,110,240,556,0.2697841726618705,171856,232184,0.4253440253440253,0.89381,2601,2910,57,25,50,7,82,206,309,0.13861,2.46341,0.04878,0.29268,0.75,3.12195,3110,2394,-716,0.43502999999999997,0.25305250305250304
Arizona Coyotes,ARI,20222023,159,450,33,192,55,156,71,102,126,258,609,0.26108374384236455,177017,239715,0.4247741954061603,0.8977,2580,2874,70,28,40,14,82,225,295,0.18907,2.90243,0.07317,0.4756,0.74608,3.89024,2899,2348,-551,0.44747,0.25305250305250304
Arizona Coyotes,ARI,20232024,141,532,32,222,40,198,69,112,109,310,673,0.20950965824665677,207417,234551,0.4693032074720342,0.8953,2326,2598,77,36,41,5,82,254,274,0.21991,2.93902,0.085365,0.56097,0.76315,3.2439,2882,2649,-233,0.47888,0.25305250305250304
Boston Bruins,BOS,20182019,151,542,31,226,61,183,59,133,120,316,693,0.2178932178932179,250116,218407,0.533839320588317,0.91225,2204,2416,107,49,24,9,82,257,212,0.25896,3.06097,0.182926,0.60975,0.79918,2.9756,2552,2951,399,0.53625,0.22759381898454747
